seed,agents,evacuated,not_evacuated,mean_evac_time,p90_evac_time,max_queue_any_edge,bottleneck_events,avg_queue_load,mean_speed_mps,mean_total_time_including_failures,evacuated_fraction,max_floor_clear_time,panic_freeze_events,panic_bad_route_choices,mean_reaction_time,mean_base_speed,scenario
12379,50,24,26,65.95833333333333,79.0,4,0,0.026,1.0089408528198074,551.66,0.48,1000,538,0,83.72,1.0186247888677453,panic
12380,50,32,18,81.875,108.60000000000001,7,0,2.792,0.9864864864864865,412.4,0.64,144,0,0,90.96,0.9860207304024143,calm
12380,50,24,26,100.79166666666667,141.0,4,0,0.038,0.963030303030303,568.38,0.48,1000,2769,0,90.96,0.9860207304024143,panic
12381,50,28,22,72.64285714285714,93.5,4,0,0.016,0.9980184940554822,480.68,0.56,1000,0,0,79.44,1.001546061383754,calm
12381,50,37,13,87.8108108108108,131.4,5,0,0.015,0.9922118380062306,324.98,0.74,135,3,0,79.44,1.001546061383754,panic
12382,50,28,22,83.82142857142857,113.7,4,0,0.008,0.9680156657963447,486.94,0.56,1000,0,0,90.76,0.9930664088710154,calm
12382,50,39,11,101.87179487179488,147.20000000000002,5,0,0.006,0.9698795180722891,299.46,0.78,126,9,0,90.76,0.9930664088710154,panic
12383,50,37,13,98.08108108108108,151.39999999999998,3,0,0.006,0.9899577167019028,332.58,0.74,175,0,0,81.96,0.9947209355369622,calm
12383,50,27,23,87.25925925925925,136.40000000000006,3,0,0.005,0.9719626168224299,507.12,0.54,175,6,0,81.96,0.9947209355369622,panic
12384,50,29,21,81.62068965517241,122.0,4,0,0.016,0.9852297592997812,467.34,0.58,1000,0,0,82.86,0.9937303190641512,calm
12384,50,22,28,77.81818181818181,101.9,4,0,0.014,0.9826629680998613,594.24,0.44,1000,536,0,82.86,0.9937303190641512,panic
12385,50,27,23,76.66666666666667,100.60000000000002,6,0,0.06,0.9852185089974294,501.4,0.54,138,0,0,70.04,0.9932072288477569,calm
12385,50,29,21,80.48275862068965,98.8,7,0,3.717,0.9785012285012284,466.68,0.58,138,527,0,70.04,0.9932072288477569,panic
12386,50,32,18,79.5,114.10000000000002,4,0,0.02,0.9712041884816754,410.88,0.64,138,0,0,73.68,0.9757795352102427,calm
12386,50,36,14,88.66666666666667,132.5,5,0,0.0,0.9758771929824561,343.84,0.72,139,284,0,73.68,0.9757795352102427,panic
12387,50,36,14,86.86111111111111,113.5,4,0,0.0,0.9712070874861573,342.54,0.72,194,0,0,78.48,0.9832409121682264,calm
12387,50,34,16,81.5,107.0,4,0,0.001,0.9692132269099202,375.42,0.68,114,283,0,78.48,0.9832409121682264,panic
12388,50,23,27,75.69565217391305,97.4,5,0,3.625,1.0160614525139664,574.82,0.46,1000,0,0,83.78,1.026641623186579,calm
12388,50,39,11,98.23076923076923,140.60000000000002,5,0,0.0,1.0126953125,296.62,0.78,152,281,0,83.78,1.026641623186579,panic
12389,50,38,12,76.39473684210526,101.9,7,0,0.062,1.0010649627263046,298.06,0.76,1000,0,0,67.94,1.0071357758335815,calm
12389,50,26,24,81.73076923076923,128.0,9,0,15.667,0.9766558089033659,522.5,0.52,128,3046,0,67.94,1.0071357758335815,panic
12390,50,23,27,64.3913043478261,80.8,6,0,1.899,1.0014705882352941,569.62,0.46,1000,0,0,72.24,1.003773984192415,calm
12390,50,29,21,71.82758620689656,98.4,6,0,1.914,1.0033519553072625,461.66,0.58,1000,818,0,72.24,1.003773984192415,panic
12391,50,23,27,65.65217391304348,84.0,5,0,0.034,1.0173978819969742,570.2,0.46,1000,0,0,87.36,1.0070596464272905,calm
12391,50,23,27,66.1304347826087,84.0,5,0,1.95,1.0106707317073171,570.42,0.46,1000,312,1,87.36,1.0070596464272905,panic
12392,50,37,13,83.16216216216216,122.8,5,0,0.016,1.012966804979253,321.54,0.74,114,0,0,85.96,1.004804134330806,calm
12392,50,15,35,68.6,93.0,3,0,0.005,0.9950372208436724,720.58,0.3,1000,247,0,85.96,1.004804134330806,panic
12393,50,20,30,72.75,95.1,3,0,0.009,1.0525328330206378,629.1,0.4,1000,0,0,87.58,1.021267778853546,calm
12393,50,20,30,72.75,95.1,3,0,0.009,1.0525328330206378,629.1,0.4,1000,505,0,87.58,1.021267778853546,panic
12394,50,36,14,82.44444444444444,117.0,7,0,0.015,0.9926801801801802,339.36,0.72,199,0,0,71.54,0.9988702026216258,calm
12394,50,40,10,85.925,122.40000000000003,5,0,0.949,0.971830985915493,268.74,0.8,199,394,0,71.54,0.9988702026216258,panic
12395,50,29,21,72.41379310344827,99.39999999999999,4,0,0.01,0.9846461949265688,462.0,0.58,1000,0,0,69.9,1.0083316458632314,calm
12395,50,26,24,75.23076923076923,102.5,4,0,1.865,0.9471598414795245,519.12,0.52,1000,1539,0,69.9,1.0083316458632314,panic
12396,50,42,8,92.38095238095238,146.6,5,0,0.0,0.98989898989899,237.6,0.84,210,0,0,76.46,1.0043657642135893,calm
12396,50,39,11,90.8974358974359,143.8,5,0,0.0,0.9809368191721133,290.9,0.78,210,1,0,76.46,1.0043657642135893,panic
12397,50,36,14,81.27777777777777,113.0,5,0,0.008,0.9785177228786252,338.52,0.72,1000,0,0,77.56,0.9797172000965259,calm
12397,50,30,20,78.5,106.60000000000001,4,0,0.967,0.9568047337278106,447.1,0.6,1000,842,0,77.56,0.9797172000965259,panic
12398,50,40,10,91.8,139.3,5,0,0.006,0.9882772680937818,273.44,0.8,176,0,0,79.58,1.0048399625978979,calm
12398,50,31,19,104.16129032258064,152.0,6,0,7.943,0.9661862527716186,444.58,0.62,176,1138,0,79.58,1.0048399625978979,panic
12399,50,38,12,97.05263157894737,140.9000000000001,5,0,0.0,1.0319767441860466,313.76,0.76,183,0,0,92.38,1.0019785024990808,calm
12399,50,39,11,104.02564102564102,163.4,5,0,0.0,1.0165148063781322,301.14,0.78,183,4,0,92.38,1.0019785024990808,panic
12400,50,31,19,85.25806451612904,133.0,5,0,1.787,0.9839378238341969,432.86,0.62,1000,0,0,85.12,1.0083792778088752,calm
12400,50,32,18,89.1875,125.80000000000001,5,0,0.028,0.9819868995633187,417.08,0.64,137,5,0,85.12,1.0083792778088752,panic
12401,50,41,9,92.78048780487805,152.0,4,0,0.002,1.0089662447257384,256.08,0.82,300,0,0,84.54,1.0192291393136217,calm
